genome,strain_name,name,species,fromtype,wgs,isolation_source
GCF_001982095.1,RI-195,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,MKGA01,missing
GCF_001998805.1,KFRI01,Leuconostoc garlicum (firmicutes),Leuconostoc garlicum,,,kimchi
GCF_001991035.1,L156.4,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,MTJY01,feces
GCF_001990145.1,RI-113,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,fermented salami
GCF_001988935.1,BFE5264,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,,milk
GCF_001982405.1,RI-514,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MKEH01,cacao been fermentation
GCF_001982385.1,RI-513,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MKEG01,cacao been fermentation
GCF_001982345.1,RI-505,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MKDZ01,cacao been fermentation
GCF_001982335.1,RI-509,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MKEC01,cacao been fermentation
GCF_001982325.1,RI-147,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MKDV01,maize silage
GCF_001982305.1,RI-146,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MKDU01,maize silage
GCF_002005385.2,10CH,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,cheese
GCF_002024845.1,CLP0611,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,environment
GCF_002017995.1,G101,Lactobacillus brevis (firmicutes),Lactobacillus brevis,,MULL01,missing
GCF_002016675.1,KCTC 3034,Lactobacillus delbrueckii subsp. lactis (firmicutes),Lactobacillus delbrueckii,,MRBF01,Sour milk
GCF_002009375.1,DRC0211,Leuconostoc mesenteroides subsp. mesenteroides (firmicutes),Leuconostoc mesenteroides,,,Kimchi
GCF_002007185.1,AL3,Lactobacillus gasseri (firmicutes),Lactobacillus gasseri,,MTZT01,stool
GCF_002007085.1,MD IIE-43,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,MUZP01,
GCF_002005385.1,10CH,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MUZE01,cheese
GCF_002003555.1,AL5,Lactobacillus gasseri (firmicutes),Lactobacillus gasseri,,MUJA01,gut
GCF_002000885.1,ND04,Lactobacillus delbrueckii subsp. bulgaricus (firmicutes),Lactobacillus delbrueckii,,,fermented camel milk
GCF_002072565.1,LMGH95,Leuconostoc pseudomesenteroides (firmicutes),Leuconostoc pseudomesenteroides,,MPHP01,dairy
GCF_002072555.1,LMGH280,Leuconostoc pseudomesenteroides (firmicutes),Leuconostoc pseudomesenteroides,,MPHT01,dairy
GCF_002072515.1,LMGH61,Leuconostoc pseudomesenteroides (firmicutes),Leuconostoc pseudomesenteroides,,MPHN01,dairy
GCF_002072505.1,LMGH100,Leuconostoc pseudomesenteroides (firmicutes),Leuconostoc pseudomesenteroides,,MPHR01,dairy
GCF_002072495.1,LMGH278,Leuconostoc pseudomesenteroides (firmicutes),Leuconostoc pseudomesenteroides,,MPHS01,dairy
GCF_002072475.1,LMGH83,Leuconostoc pseudomesenteroides (firmicutes),Leuconostoc pseudomesenteroides,,MPHO01,dairy
GCF_002027415.1,W14,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,MWVE01,fermented soybeans
GCF_002027405.1,W16,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,MWVD01,fermented soybeans
GCF_002027355.1,R709,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,MWVF01,milk
GCF_002027295.1,CECT8605,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,MWVS01,Milk
GCF_002079335.1,NCIMB8818,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,NBDX01,
GCF_002079325.1,NCIMB702343,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,NBEA01,
GCF_002079285.1,IIA,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,,beef from cattle Peranakan Ongole
GCF_002076955.1,Pen,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,,gastrointestinal tract
GCF_002076375.1,PEL66,Lactobacillus ruminis (firmicutes),Lactobacillus ruminis,,MRYQ01,
GCF_002076365.1,GRL1172,Lactobacillus ruminis (firmicutes),Lactobacillus ruminis,,MRYO01,
GCF_002076355.1,PEL65,Lactobacillus ruminis (firmicutes),Lactobacillus ruminis,,MRYP01,
GCF_002075105.1,L6,Lactobacillus amylolyticus (firmicutes),Lactobacillus amylolyticus,,,natually fermented tofu whey
GCF_002072585.1,LMGH97,Leuconostoc pseudomesenteroides (firmicutes),Leuconostoc pseudomesenteroides,,MPHQ01,dairy
GCF_002072575.1,LMGH284,Leuconostoc pseudomesenteroides (firmicutes),Leuconostoc pseudomesenteroides,,MPHU01,dairy
GCF_002079545.1,gul2,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,NBEK01,
GCF_002079525.1,JCM 1040,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,NBEJ01,
GCF_002079505.1,JCM 1042,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,NBEI01,
GCF_002079485.1,JCM 1044,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,NBEH01,
GCF_002079465.1,JCM 1045,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,NBEG01,
GCF_002079435.1,L21,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,NBED01,
GCF_002079425.1,JCM 1047,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,NBEF01,
GCF_002079405.1,JCM 1230,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,NBEE01,
GCF_002079385.1,LMG 14476,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,NBEC01,
GCF_002079365.1,NCIMB8816,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,NBDZ01,
GCF_002079765.1,AH4331,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,NBEX01,
GCF_002079745.1,CCuG2753OB,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,NBEU01,
GCF_002079715.1,CCuG38008,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,NBET01,
GCF_002079705.1,CCuG44481,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,NBES01,
GCF_002079685.1,CCuG45735,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,NBER01,
GCF_002079645.1,CCuG47171,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,NBEQ01,
GCF_002079625.1,CCuG47826,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,NBEO01,
GCF_002079595.1,DSM 20492,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,NBEN01,
GCF_002079585.1,DSM 20554,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,assembly from synonym type material,NBEM01,
GCF_002079565.1,gul1,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,NBEL01,
GCF_002092035.1,LMGCF06,Leuconostoc pseudomesenteroides (firmicutes),Leuconostoc pseudomesenteroides,,MPAR01,dairy
GCF_002091995.1,GCRL 163,Lactobacillus casei (firmicutes),Lactobacillus casei,,MODT01,cheese
GCF_002091975.1,MJA 12,Lactobacillus casei (firmicutes),Lactobacillus casei,,MODS01,Fermented milk drink
GCF_002088015.1,ATCC 33820,Lactobacillus crispatus (firmicutes),Lactobacillus crispatus,assembly from type material,NARH01,
GCF_002079925.1,NCIMB8817,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,NBDY01,
GCF_002079905.1,01M14315,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,MSCR01,
GCF_002079845.1,AH4231,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,NBEY01,
GCF_002079805.1,AH43324,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,NBEW01,
GCF_002079795.1,LMG 14477,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,NBEB01,
GCF_002079785.1,AH43348,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,NBEV01,
GCF_002092215.1,LMGCF07,Leuconostoc mesenteroides subsp. cremoris (firmicutes),Leuconostoc mesenteroides,,MPAS01,dairy
GCF_002092235.1,LMGTW1,Leuconostoc pseudomesenteroides (firmicutes),Leuconostoc pseudomesenteroides,,MPBC01,dairy
GCF_002092165.1,LMGCF08,Leuconostoc pseudomesenteroides (firmicutes),Leuconostoc pseudomesenteroides,,MPLS01,dairy
GCF_002092155.1,LMGCF04,Leuconostoc mesenteroides subsp. cremoris (firmicutes),Leuconostoc mesenteroides,,MPAP01,dairy
GCF_002092145.1,LMGCF03,Leuconostoc mesenteroides subsp. cremoris (firmicutes),Leuconostoc mesenteroides,,MPAO01,dairy
GCF_002092135.1,LMGCF02,Leuconostoc mesenteroides subsp. cremoris (firmicutes),Leuconostoc mesenteroides,,MPAN01,dairy
GCF_002092105.1,LMGCF09,Leuconostoc mesenteroides subsp. cremoris (firmicutes),Leuconostoc mesenteroides,,MPAT01,dairy
GCF_002092085.1,LMGCF05,Leuconostoc mesenteroides subsp. cremoris (firmicutes),Leuconostoc mesenteroides,,MPAQ01,dairy
GCF_002092075.1,HPK01,Leuconostoc pseudomesenteroides (firmicutes),Leuconostoc pseudomesenteroides,,MPAL01,dairy starter
GCF_002092045.1,LMGCF01,Leuconostoc mesenteroides subsp. cremoris (firmicutes),Leuconostoc mesenteroides,,MPAM01,dairy
GCF_002092425.1,LMGCF17,Leuconostoc mesenteroides subsp. cremoris (firmicutes),Leuconostoc mesenteroides,,MPEG01,dairy
GCF_002092415.1,LMGCF19,Leuconostoc mesenteroides subsp. cremoris (firmicutes),Leuconostoc mesenteroides,,MPEI01,dairy
GCF_002092385.1,LMGCF12,Leuconostoc mesenteroides subsp. cremoris (firmicutes),Leuconostoc mesenteroides,,MPEB01,dairy
GCF_002092375.1,LMGCF15,Leuconostoc pseudomesenteroides (firmicutes),Leuconostoc pseudomesenteroides,,MPEE01,dairy
GCF_002092355.1,LMGTW3,Leuconostoc pseudomesenteroides (firmicutes),Leuconostoc pseudomesenteroides,,MPBD01,dairy
GCF_002092335.1,LMGCF14,Leuconostoc mesenteroides subsp. cremoris (firmicutes),Leuconostoc mesenteroides,,MPED01,dairy
GCF_002092315.1,LMGCF11,Leuconostoc mesenteroides subsp. cremoris (firmicutes),Leuconostoc mesenteroides,,MPEA01,dairy
GCF_002092295.1,LMGTW8,Leuconostoc pseudomesenteroides (firmicutes),Leuconostoc pseudomesenteroides,,MPBB01,dairy
GCF_002092245.1,LMGCF10,Leuconostoc mesenteroides subsp. cremoris (firmicutes),Leuconostoc mesenteroides,,MPAU01,dairy
GCF_002092255.1,LMGTW6,Leuconostoc pseudomesenteroides (firmicutes),Leuconostoc pseudomesenteroides,,MPBA01,dairy
GCF_002092625.1,LN08,Leuconostoc mesenteroides subsp. mesenteroides (firmicutes),Leuconostoc mesenteroides,,MPLJ01,dairy
GCF_002092615.1,LN07,Leuconostoc mesenteroides subsp. cremoris (firmicutes),Leuconostoc mesenteroides,,MPLI01,dairy
GCF_002092595.1,LN19,Leuconostoc lactis (firmicutes),Leuconostoc lactis,,MPLL01,dairy
GCF_002092565.1,LN05,Leuconostoc mesenteroides subsp. mesenteroides (firmicutes),Leuconostoc mesenteroides,,MPLH01,dairy
GCF_002092555.1,LN02,Leuconostoc pseudomesenteroides (firmicutes),Leuconostoc pseudomesenteroides,,MPLG01,dairy
GCF_002092535.1,BM2,Leuconostoc pseudomesenteroides (firmicutes),Leuconostoc pseudomesenteroides,,MPLF01,dairy
GCF_002092515.1,LMGCF16,Leuconostoc mesenteroides subsp. cremoris (firmicutes),Leuconostoc mesenteroides,,MPEF01,dairy
GCF_002092495.1,LMGCF18,Leuconostoc mesenteroides subsp. cremoris (firmicutes),Leuconostoc mesenteroides,,MPEH01,dairy
GCF_002092465.1,LMGCF13,Leuconostoc mesenteroides subsp. cremoris (firmicutes),Leuconostoc mesenteroides,,MPEC01,dairy
GCF_002092455.1,LMGCF20,Leuconostoc mesenteroides subsp. cremoris (firmicutes),Leuconostoc mesenteroides,,MPEJ01,dairy
GCF_002095615.1,FAM21823,Lactobacillus parabuchneri (firmicutes),Lactobacillus parabuchneri,,MSAT01,Mont soleil
GCF_002095565.1,BM2,Leuconostoc sp. BM2 (firmicutes),Leuconostoc sp. BM2,,MOWQ01,dairy
GCF_002093065.1,CRL 2013,Lactobacillus brevis (firmicutes),Lactobacillus brevis,,MZMW01,Amaranth sourdough
GCF_002092775.1,LN34,Leuconostoc mesenteroides subsp. mesenteroides (firmicutes),Leuconostoc mesenteroides,,MPLR01,dairy
GCF_002092745.1,LN27,Leuconostoc mesenteroides subsp. mesenteroides (firmicutes),Leuconostoc mesenteroides,,MPLP01,dairy
GCF_002092735.1,LN25,Leuconostoc mesenteroides subsp. mesenteroides (firmicutes),Leuconostoc mesenteroides,,MPLO01,dairy
GCF_002092705.1,LN32,Leuconostoc mesenteroides subsp. mesenteroides (firmicutes),Leuconostoc mesenteroides,,MPLQ01,dairy
GCF_002092695.1,LN24,Leuconostoc lactis (firmicutes),Leuconostoc lactis,,MPLN01,dairy
GCF_002092645.1,LN23,Leuconostoc pseudomesenteroides (firmicutes),Leuconostoc pseudomesenteroides,,MPLM01,dairy
GCF_002092635.1,LN12,Leuconostoc pseudomesenteroides (firmicutes),Leuconostoc pseudomesenteroides,,MPLK01,dairy
GCF_002095815.1,FAM23167,Lactobacillus parabuchneri (firmicutes),Lactobacillus parabuchneri,,MSBB01,Tete de Moine
GCF_002095795.1,FAM21809,Lactobacillus parabuchneri (firmicutes),Lactobacillus parabuchneri,,MSAS01,Tete de Moine
GCF_002095765.1,FAM23282,Lactobacillus parabuchneri (firmicutes),Lactobacillus parabuchneri,,MSBI01,milk
GCF_002095755.1,FAM21835,Lactobacillus parabuchneri (firmicutes),Lactobacillus parabuchneri,,MSBE01,Tilsit
GCF_002095725.1,FAM23166,Lactobacillus parabuchneri (firmicutes),Lactobacillus parabuchneri,,MSBA01,Tete de Moine
GCF_002095715.1,FAM23168,Lactobacillus parabuchneri (firmicutes),Lactobacillus parabuchneri,,MSBC01,Tete de Moine
GCF_002095655.1,FAM21834,Lactobacillus parabuchneri (firmicutes),Lactobacillus parabuchneri,,MSAV01,Tilsit
GCF_002095695.1,FAM23165,Lactobacillus parabuchneri (firmicutes),Lactobacillus parabuchneri,,MSAZ01,Tete de Moine
GCF_002095645.1,FAM21829,Lactobacillus parabuchneri (firmicutes),Lactobacillus parabuchneri,,MSAU01,Emmental
GCF_002095635.1,FAM21838,Lactobacillus parabuchneri (firmicutes),Lactobacillus parabuchneri,,MSAW01,Swiss Alpine cheese
GCF_002103215.1,Lrh46,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,LPNW01,blood
GCF_002103185.1,Lrh47,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,LPNV01,blood
GCF_002103155.1,Lrh38,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,LPNU01,blood
GCF_002103145.1,Lrh39,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,LPNT01,blood
GCF_002095915.1,FAM23281,Lactobacillus parabuchneri (firmicutes),Lactobacillus parabuchneri,,MSBH01,milk
GCF_002095905.1,FAM23280,Lactobacillus parabuchneri (firmicutes),Lactobacillus parabuchneri,,MSBG01,milk
GCF_002095895.1,FAM23279,Lactobacillus parabuchneri (firmicutes),Lactobacillus parabuchneri,,MSBF01,milk
GCF_002095845.1,FAM23164,Lactobacillus parabuchneri (firmicutes),Lactobacillus parabuchneri,,MSAY01,Tete de Moine
GCF_002095835.1,FAM23163,Lactobacillus parabuchneri (firmicutes),Lactobacillus parabuchneri,,MSAX01,Tete de Moine
GCF_002095825.1,FAM23169,Lactobacillus parabuchneri (firmicutes),Lactobacillus parabuchneri,,MSBD01,Tete de Moine
GCF_002115655.1,DmW_181,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,NDXH01,
GCF_002115575.1,DmW_103,Weissella cibaria (firmicutes),Weissella cibaria,,NDXJ01,whole body homogenate of fruit fly from compost
GCF_002112805.1,MM34-4A,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,NBBF01,breast milk
GCF_002112225.1,JCM 1081,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,NBBD01,feces
GCF_002112245.1,CSF8,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,NBBE01,feces
GCF_002112185.1,1366,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,NBBG01,feces
GCF_002112195.1,M27U15,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,NBBH01,breast milk
GCF_002109425.1,LP2,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,
GCF_002109405.1,JBE490,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,"Nuruk, Korean traditional beverage starter"
GCF_002105575.1,Probio65,Lactobacillus sakei (firmicutes),Lactobacillus sakei,,,kimchi
GCF_002117345.1,TMW 1.2108,Lactobacillus brevis (firmicutes),Lactobacillus brevis,,,wheat beer
GCF_002117325.1,TMW 1.2113,Lactobacillus brevis (firmicutes),Lactobacillus brevis,,,brewery-associated surface
GCF_002117305.1,TMW 1.1623,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,unknown
GCF_002117285.1,TMW 1.708,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,raw sausage
GCF_002117265.1,TMW 1.277,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,palm wine
GCF_002117245.1,TMW 1.25,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,raw sausage
GCF_002117225.1,TMW 1.2112,Lactobacillus brevis (firmicutes),Lactobacillus brevis,,,wheat beer
GCF_002117185.1,BD1710,Leuconostoc mesenteroides subsp. mesenteroides (firmicutes),Leuconostoc mesenteroides,,,kefir
GCF_002116955.1,BLS41,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,,kimchi
GCF_002115685.1,DmW_111,Leuconostoc citreum (firmicutes),Leuconostoc citreum,,NDXG01,from a built environment
GCF_002128585.1,KLR2003,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,MIMK01,feces
GCF_002128555.1,KLR2002,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,MIMJ01,feces
GCF_002128525.1,KLR1004,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,MIMH01,feces
GCF_002128515.1,KLR1002,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,MIMF01,feces
GCF_002128495.1,KLR2001,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,MIMI01,feces
GCF_002128485.1,KLR1001,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,MIME01,feces
GCF_002120125.1,HZ-1,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,MOAG01,fermented milk
GCF_002119645.1,FTDC 8312,Lactobacillus fermentum (firmicutes),Lactobacillus fermentum,,,fecal sample
GCF_002117995.1,JCM 10692,Lactobacillus acidipiscis (firmicutes),Lactobacillus acidipiscis,assembly from type material,BDQH01,fermented fish (Pla-ra)
GCF_002117375.1,TMW 1.2111,Lactobacillus brevis (firmicutes),Lactobacillus brevis,,,wheat beer
GCF_002128765.1,KLR3006,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,MIMV01,feces
GCF_002128755.1,KLR2006,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,MIMN01,feces
GCF_002128745.1,KLR2008,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,MIMP01,feces
GCF_002128715.1,KLR2004,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,MIML01,feces
GCF_002128705.1,KLR4001,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,MIMW01,feces
GCF_002128685.1,KLR3005,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,MIMU01,feces
GCF_002128655.1,KLR3004,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,MIMT01,feces
GCF_002128635.1,KLR3003,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,MIMS01,feces
GCF_002128615.1,KLR3002,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,MIMR01,feces
GCF_002128605.1,KLR2007,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,MIMO01,feces
GCF_002157585.1,JCM 8573,Lactobacillus parakefiri (firmicutes),Lactobacillus parakefiri,assembly from type material,BDGB01,kefir grains
GCF_002156645.1,LJ0,Lactobacillus johnsonii (firmicutes),Lactobacillus johnsonii,,MWIK01,jejunum from mouse on 7% by weight (16% by calorie) soybean oil diet
GCF_002156605.1,LR0,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,MWIJ01,jejunum from mouse on 7% by weight (16% by calorie) soybean oil diet
GCF_002148875.1,DPC2071,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,NCSN01,cheese
GCF_002148885.1,DPC4536,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,NCSP01,Chesse
GCF_002148805.1,DPC4206,Lactobacillus paracasei (firmicutes),Lactobacillus paracasei,,NCSO01,cheese
GCF_002148235.1,FM06,Leuconostoc mesenteroides subsp. mesenteroides (firmicutes),Leuconostoc mesenteroides,,,10 weeks old 45+ Samso cheese
GCF_002142575.1,TUA4408L,Lactobacillus delbrueckii subsp. delbrueckii (firmicutes),Lactobacillus delbrueckii,,,Sunki
GCF_002138395.1,100D8,Lactobacillus brevis (firmicutes),Lactobacillus brevis,,,rye silage
GCF_002135095.1,KLW001,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,LXZG01,Porcine feces
GCF_002161035.1,An115,Lactobacillus gallinarum (firmicutes),Lactobacillus gallinarum,,NFLS01,caecum
GCF_002160975.1,An119,Lactobacillus gallinarum (firmicutes),Lactobacillus gallinarum,,NFLP01,caecum
GCF_002160855.1,An128,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,NFLK01,caecum
GCF_002160635.1,An153,Lactobacillus gallinarum (firmicutes),Lactobacillus gallinarum,,NFKZ01,caecum
GCF_002160565.1,An166,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,NFKV01,caecum
GCF_002160105.1,An197,Lactobacillus johnsonii (firmicutes),Lactobacillus johnsonii,,NFJY01,caecum
GCF_002159345.1,An63,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,NFHV01,caecum
GCF_002159305.1,An71,Lactobacillus reuteri (firmicutes),Lactobacillus reuteri,,NFHN01,caecum
GCF_002158925.1,4B15,Lactobacillus rhamnosus (firmicutes),Lactobacillus rhamnosus,,,infant feces
GCF_002158885.1,4M13,Lactobacillus gasseri (firmicutes),Lactobacillus gasseri,,,infant feces
GCF_002173595.1,SRCM100313,Pediococcus acidilactici (firmicutes),Pediococcus acidilactici,,,food
GCF_002173575.1,SRCM100424,Pediococcus acidilactici (firmicutes),Pediococcus acidilactici,,,food
GCF_002173555.1,SRCM101174,Lactobacillus brevis (firmicutes),Lactobacillus brevis,,,food
GCF_002173535.1,SRCM100892,Pediococcus pentosaceus (firmicutes),Pediococcus pentosaceus,,,food
GCF_002165725.1,S11T3E,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MQNL01,brine from table olives after 11 days of fermentation
GCF_002165715.1,O2T60C,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MPLC01,Surface of table olives after 60 days of fermentation
GCF_002165655.1,S2T10D,Lactobacillus plantarum (firmicutes),Lactobacillus plantarum,,MQNK01,brine from table olives after 10 days of fermentation
GCF_002162055.1,ZLS006,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,,
GCF_002161265.1,An84,Lactobacillus salivarius (firmicutes),Lactobacillus salivarius,,NFHF01,caecum
GCF_002161165.1,An101,Lactobacillus gallinarum (firmicutes),Lactobacillus gallinarum,,NFLZ01,caecum
GCF_002192215.1,LC5,Lactobacillus casei (firmicutes),Lactobacillus casei,,,Commercial dietary supplements
GCF_002191155.1,KACC 12383,Lactobacillus paralimentarius (firmicutes),Lactobacillus paralimentarius,,MXAL01,Fermented vegetable (kimchi)
GCF_002179915.1,KACC 16343,Lactobacillus paralimentarius (firmicutes),Lactobacillus paralimentarius,,MYFM01,A Bobal wine
GCF_002179515.1,3M004,Lactobacillus brevis (firmicutes),Lactobacillus brevis,,NFZZ01,feed to animal
GCF_002176855.1,UMNLJ21,Lactobacillus johnsonii (firmicutes),Lactobacillus johnsonii,,,ileum
